Token,True Label,Predicted Label,Features
India,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Rubber,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Markets,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
meeting,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=RB': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Japan,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Treasury,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Switzerland,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
&,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Banking,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
Haddadin,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Lebanon,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=DT': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
the,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=DT': 1.0, 'prev_pos_tag=IN': 1.0}"
Cedars,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=DT': 1.0}"
'S,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Street,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=O': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Corrections,I-ORG,B-ORG,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
MOINES,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
County,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Hub,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Weather,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Weather,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Coast,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
York,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
LOUIS,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
Louis,I-LOC,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Trade,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Louis,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Louis,I-LOC,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Louis,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
House,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Traditions,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
&,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Promotions,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
Animal,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Hospital,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Veterinary,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
Animal,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
shepherds,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=JJ': 1.0}"
spaniels,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NN': 1.0}"
MOINES,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
NATIONS,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
General,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=DT': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
the,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=DT': 1.0, 'prev_pos_tag=IN': 1.0}"
Islamic,I-ORG,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=DT': 1.0}"
Conference,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
General,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Batasuna,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Stampa,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Two,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNS': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=NNP': 1.0}"
Peak,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Clipper,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=:': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Clerici,I-ORG,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
Light,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Light,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Juana,I-MISC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
36,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'contains_digit': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=CD': 1.0, 'prev_pos_tag=NNP': 1.0}"
Rapids,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
CITY,I-LOC,O,"{'chunk_tag=B-VP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=VBZ': 1.0, 'prev_pos_tag=NN': 1.0}"
Hanover,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=JJ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Hanover,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=JJ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
ACCESS,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNS': 1.0, 'prev_pos_tag=NNP': 1.0}"
American,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
American,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mexico,I-LOC,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=JJ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Pius,I-ORG,B-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
X,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
High,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mexico,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Activities,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Bator,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
America,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Caledonia,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
League,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-LOC,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Padania,I-LOC,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=""': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Salvador,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Lewis,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Tambang,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=PRP': 1.0}"
Timah,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
South,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Wales,I-ORG,B-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Zealand,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
First,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
First,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=MD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Zealand,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
First,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
First,I-ORG,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Representatives,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNPS': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Representatives,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=IN': 1.0}"
Capital,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Territory,I-MISC,I-LOC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Nations,I-ORG,I-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
New,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Technology,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Yangon,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=RB': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Order,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
Sabr,I-MISC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-MISC,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Loine,I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Emdldm,I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
Glory,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Yang,I-MISC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Ace,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Shun,I-MISC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Bao,I-ORG,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Korean,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=JJ': 1.0, 'prev_pos_tag=JJ': 1.0}"
Heavy,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
China,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Customs,I-ORG,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Arasu,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=<END>': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=O': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Mines,I-ORG,B-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=JJ': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
RV,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NN': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
of,I-ORG,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Singapore,I-ORG,B-LOC,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
Agreement,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=IN': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
on,I-MISC,O,"{'chunk_tag=B-PP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=IN': 1.0, 'prev_pos_tag=NNP': 1.0}"
Tariffs,I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=IN': 1.0}"
and,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Trade,I-MISC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=(': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CC': 1.0}"
and,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=CC': 1.0, 'prev_pos_tag=NNP': 1.0}"
Lumpur,I-LOC,I-ORG,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Olympics,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=CC': 1.0, 'pos_tag=NNPS': 1.0, 'prev_pos_tag=NNP': 1.0}"
CLASSIC,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBD': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
SPRINGS,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=,': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Hilton,I-LOC,I-PER,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
Resort,I-LOC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=.': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
World,I-MISC,B-MISC,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=CD': 1.0}"
G,I-MISC,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=VBZ': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
's,I-MISC,O,"{'chunk_tag=B-NP': 1.0, 'next_pos_tag=NNP': 1.0, 'pos_tag=POS': 1.0, 'prev_pos_tag=NNP': 1.0}"
III,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=TO': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
III,I-ORG,O,"{'chunk_tag=I-NP': 1.0, 'next_pos_tag=TO': 1.0, 'pos_tag=NNP': 1.0, 'prev_pos_tag=NNP': 1.0}"
